cab_type,distance,fare
UberGo,0.76,37.15
UberGo,1.57,41.64
UberGo,0.76,35.81
UberGo,7.44,150
POOL,2.96,58.28
UberGo,8.01,98.38
UberGo,1.56,53.29
UberGo,1.41,58.87
POOL,3.73,79.53
UberGo,3.5,69.57
UberGo,4.08,95.92
UberGo,1.48,75.75
UberGo,1.56,39.2
POOL,2.41,35
UberGo,1.66,49.29
UberGo,2.8,71.25
UberGo,4.17,112.46
UberGo,9.94,253.98
UberGo,7.85,165.18
UberGo,7.54,162.46
UberGo,5.7,124.1
UberGo,9.42,238.5
UberGo,6.47,118.14
UberGo,5.42,143.42
UberGo,1.46,68.17
UberGo,1,85.38
UberGo,2.29,78.41
POOL,1.41,59.53
UberGo,1.44,74.07
POOL,1.77,39.53
POOL,1.52,49.53
UberGo,1.48,67.02
POOL,1.47,49.53
POOL,1.52,41.88
POOL,2.96,41.18
UberGo,1.49,62.51
UberGo,1.29,82.83
POOL,1.57,62.85
POOL,1.52,49
POOL,1.27,49
POOL,1.99,49
POOL,0.73,49
UberGo,0.83,62.76
UberGo,2.03,71.51
UberGo,0.62,53
POOL,1.94,49
POOL,2.03,44.46
UberGo,2.08,76.1
POOL,1.27,49
UberGo,2.6,86.22
POOL,1.87,67.96
UberGo,1.6,78.65
UberGo,1.52,65.57
UberGo,0,0
UberGo,1.97,69.06
UberGo,1.97,67.49
UberGo,2.99,107.74
UberGo,2.52,83.29
UberGo,2.06,58.59
UberGo,1.52,63.65
UberGo,2.06,70.1
UberGo,0.91,60.23
UberGo,3.21,83.14
UberGo,0.93,59.62
UberGo,2.12,66.06
UberGo,0.83,57.48
UberGo,2.22,68.55
UberGo,1.99,74.33
UberGo,1.97,67.08
UberGo,2.1,63.79
UberGo,1.41,63.99
UberGo,7.58,140.67
UberGo,2.01,64.16
UberGo,2.08,70.41
UberGo,9.21,163.29
UberGo,4.16,98.36
UberGo,7.59,132.04
UberGo,8.27,130.68
UberGo,2.56,89.07
UberGo,9.42,241.68
UberGo,7.92,160.96
UberGo,7.59,142.4
UberGo,2.12,63.87
UberGo,2.1,64.37
UberGo,7.92,188.09
UberGo,8.64,130
UberGo,9.33,161.25
UberGo,8.59,135.94
UberGo,9.27,157.07
UberGo,8.53,124.81
UberGo,2.06,64.33
UberGo,1.04,61.13
UberGo,2.06,62.18
UberGo,2.05,62.06
UberGo,1.15,64.58
UberGo,1.59,59.42
UberGo,2.1,66.71
UberGo,4.8,155.81
UberGo,2.61,65.99
UberGo,1.78,61.17
UberGo,1.88,63.8
UberGo,2.58,63.86
UberGo,2,63.69
UberGo,2.23,71.09
UberGo,2.09,62.15
UberGo,2.57,62.82
UberGo,2.22,62.44
UberGo,2.28,62.63
UberGo,1.99,61.35
UberGo,18.73,372.27
UberGo,13.06,242.27
UberGo,6.16,164.7
UberGo,1.98,60.04
UberGo,2.02,62.64
UberGo,1.41,82.81
UberGo,2.04,63
UberGo,1.94,58.58
UberGo,1.57,63.88
UberGo,2.1,75.41
UberGo,1.91,56.47
UberGo,10.87,170.6
UberGo,2.1,133.55
UberGo,4.19,128.56
UberGo,3.57,184.53
UberGo,2.07,62.02
UberGo,1.94,55.65
UberGo,1.88,117.06
UberGo,1.59,82.33
UberGo,1.42,123.82
UberGo,1.51,69.33
UberGo,1.94,51.96
UberGo,3.85,212.8
UberGo,9.44,315.02
UberGo,4.42,89
UberGo,3.59,83.25
UberGo,10.6,188.27
UberGo,4.28,95.47
UberGo,1.99,98.18
UberGo,3.69,84.92
UberGo,2.97,68.35
UberGo,5.79,104.92
UberGo,6.36,123.85
UberGo,6.56,116
UberGo,1.89,57
Premier,6.49,139
Premier,5.77,157.21
UberAuto,12.78,196.9
UberGo,5.41,140.04
Moto,1.15,10
Moto,1.29,10
UberGo,17.53,415
UberGo,17.12,401.5
UberAuto,18.31,389
UberAuto,2.76,67
UberAuto,2.97,69
UberAuto,2.82,66
UberAuto,12.37,272
UberGo,11.78,246
UberAuto,11.95,269
UberAuto,14.34,322
UberGo,11.57,281
UberGo,17.53,415
UberGo,17.12,401.5
UberAuto,18.31,389
UberAuto,2.76,67
UberAuto,2.97,69
UberAuto,2.82,66
UberAuto,12.37,272
UberGo,11.78,246
UberAuto,11.95,269
UberAuto,14.34,322
UberGo,11.57,281
UberAuto,12.78,196.9
UberGo,5.41,140.04
Moto,1.15,10
Moto,1.29,10
UberAuto,2.62,69
UberGo,7.74,254
UberGo,2.86,121
UberAuto,0.9,34
UberGo,6.92,238
UberGo,8.02,243
UberGo,8.38,284.7
UberAuto,2.82,42.9
UberAuto,3.1,58.2
UberAuto,3.39,58.2
UberAuto,1.7,30.6
UberAuto,1.62,35.4
UberAuto,2.39,25.62
UberAuto,1.87,51.27
UberAuto,9.43,204.49
UberAuto,2.58,55.34
UberAuto,9.15,188.25
UberAuto,0,12
UberAuto,3.18,103.51
Moto,0.15,13.55
UberAuto,2.07,63.75
UberAuto,6.97,162.54
Premier,5.77,157.21
Premier,5.468066492,257.47
UberGo,5.468066492,219.38
Moto,5.468066492,66.21
UberAuto,8.077825499,197.2
Premier,8.077825499,374.76
UberGo,8.077825499,315.71
Moto,8.077825499,102.23
UberAuto,5.965163445,131.41
Premier,5.965163445,304.43
UberGo,5.965163445,259.45
Moto,5.965163445,71.83
UberAuto,7.456454307,164.76
Premier,7.456454307,387.17
UberGo,7.456454307,324.77
Moto,7.456454307,96.93
UberAuto,0.80778255,12
Premier,0.80778255,92.5
UberGo,0.80778255,85.61
Moto,0.80778255,18.49
UberAuto,1.988387815,41.06
Premier,1.988387815,140.39
UberGo,1.988387815,123.59
Moto,1.988387815,30.07
UberAuto,4.660283942,129.16
Premier,4.660283942,280.97
UberGo,4.660283942,244.49
Moto,4.660283942,70.79
UberAuto,2.485484769,107.08
Premier,2.485484769,240.23
UberGo,2.485484769,205.95
Moto,2.485484769,60.58
UberAuto,5.965163445,126.45
Premier,5.965163445,274.96
UberGo,5.965163445,238.24
Moto,5.965163445,69.53
UberAuto,6.213711922,126.45
Premier,6.213711922,274.96
UberGo,6.213711922,238.24
Moto,6.213711922,69.53
UberAuto,1.242742384,15.38
Premier,1.242742384,103.14
UberGo,1.242742384,93.99
Moto,1.242742384,18.49
UberAuto,1.242742384,28.67
Premier,1.242742384,123.51
UberGo,1.242742384,110.94
Moto,1.242742384,24.35
UberAuto,2.920444604,77.11
Premier,2.920444604,197.86
UberGo,2.920444604,172.99
Moto,2.920444604,46.73
UberAuto,3.603952915,76.89
Premier,3.603952915,197.64
UberGo,3.603952915,172.89
Moto,3.603952915,46.63
UberAuto,5.903026326,130.73
Premier,5.903026326,284.01
UberGo,5.903026326,247.46
Moto,5.903026326,71.51
UberAuto,2.796170365,58.64
Premier,2.796170365,172.87
UberGo,2.796170365,154.39
Moto,2.796170365,42.43
UberAuto,3.728227153,80.27
Premier,3.728227153,201.96
UberGo,3.728227153,175.92
Moto,3.728227153,48.2
UberAuto,0.403891275,21.69
Premier,0.403891275,113.28
UberGo,0.403891275,102.75
Moto,0.403891275,21.12
UberAuto,1.242742384,21.46
Premier,1.242742384,11.71
UberGo,1.242742384,100.61
Moto,1.242742384,21.02
UberAuto,1.6155651,31.6
Premier,1.6155651,128.12
UberGo,1.6155651,114.86
Moto,1.6155651,25.7
UberAuto,3.603952915,89.05
Premier,3.603952915,212.8
UberGo,3.603952915,183.2
UberAuto,2.734033246,56.61
Premier,2.734033246,181.44
UberGo,2.734033246,159.03
Moto,2.734033246,37.25
UberAuto,3.2311302,68.77
Premier,3.2311302,201.49
UberGo,3.2311302,175.44
Moto,3.2311302,42.89
UberAuto,3.417541557,71.7
Premier,3.417541557,184.49
UberGo,3.417541557,158.44
UberAuto,1.367016623,41.51
Premier,1.367016623,140.8
UberGo,1.367016623,123.76
Moto,1.367016623,30.28
UberAuto,6.835083115,167.23
Premier,6.835083115,330.25
UberGo,6.835083115,279.53
Moto,6.835083115,88.38
UberAuto,1.242742384,23.26
Premier,1.242742384,113.54
UberGo,1.242742384,101.53
Moto,1.242742384,21.84
Premier,7.456454307,328.24
UberGo,7.456454307,276.51
UberAuto,1.429153742,28.22
Premier,1.429153742,121.69
UberGo,1.429153742,108.68
Moto,1.429153742,24.14
UberAuto,4.722421061,102.12
Premier,4.722421061,232.64
UberGo,4.722421061,199.59
UberAuto,2.734033246,59.09
UberGo,2.734033246,143.01
Moto,2.734033246,38.4
UberAuto,1.864113577,37.23
Premier,1.864113577,133.13
UberGo,1.864113577,116.62
Moto,1.864113577,28.29
UberAuto,4.225324107,88.15
Premier,4.225324107,207.64
UberGo,4.225324107,176.38
Moto,4.225324107,51.83
UberAuto,6.213711922,118.12
Premier,6.213711922,255.71
Moto,6.213711922,65.68
UberAuto,5.219518015,97.39
Premier,5.219518015,222.57
UberGo,5.219518015,189.35
Moto,5.219518015,56.11
UberAuto,1.6155651,32.73
Premier,1.6155651,126.06
UberGo,1.6155651,110.63
Moto,1.6155651,26.22
UberAuto,1.242742384,24.39
Premier,1.242742384,115.17
